KOTA PALOPO,"7373","73",1
KABUPATEN KOLAKA,"7401","74",1
KABUPATEN KONAWE,"7402","74",1
KABUPATEN MUNA,"7403","74",1
KABUPATEN BUTON,"7404","74",1
KABUPATEN KONAWE SELATAN,"7405","74",1
KABUPATEN BOMBANA,"7406","74",1
KABUPATEN WAKATOBI,"7407","74",1
KABUPATEN KOLAKA UTARA,"7408","74",1
KABUPATEN KONAWE UTARA,"7409","74",1
KABUPATEN BUTON UTARA,"7410","74",1
KABUPATEN KOLAKA TIMUR,"7411","74",1
KABUPATEN KONAWE KEPULAUAN,"7412","74",1
KABUPATEN MUNA BARAT,"7413","74",1
KABUPATEN BUTON TENGAH,"7414","74",1
KABUPATEN BUTON SELATAN,"7415","74",1
KOTA KENDARI,"7471","74",1
KOTA BAU BAU,"7472","74",1
KABUPATEN GORONTALO,"7501","75",1
KABUPATEN BOALEMO,"7502","75",1
KABUPATEN BONE BOLANGO,"7503","75",1
KABUPATEN PAHUWATO,"7504","75",1
KABUPATEN GORONTALO UTARA,"7505","75",1
KOTA GORONTALO,"7571","75",1
KABUPATEN PASANGKAYU,"7601","76",1
KABUPATEN MAMUJU,"7602","76",1
KABUPATEN MAMASA,"7603","76",1
KABUPATEN POLEWALI MANDAR,"7604","76",1
KABUPATEN MAJENE,"7605","76",1
KABUPATEN MAMUJU TENGAH,"7606","76",1
KABUPATEN MALUKU TENGAH,"8101","81",1
KABUPATEN MALUKU TENGGARA,"8102","81",1
KABUPATEN KEPULAUAN TANIMBAR,"8103","81",1
KABUPATEN BURU,"8104","81",1
KABUPATEN SERAM BAGIAN TIMUR,"8105","81",1
KABUPATEN SERAM BAGIAN BARAT,"8106","81",1
KABUPATEN KEPULAUAN ARU,"8107","81",1
KABUPATEN MALUKU BARAT DAYA,"8108","81",1
KABUPATEN BURU SELATAN,"8109","81",1
KOTA AMBON,"8171","81",1
KOTA TUAL,"8172","81",1
KABUPATEN HALMAHERA BARAT,"8201","82",1
KABUPATEN HALMAHERA TENGAH,"8202","82",1
KABUPATEN HALMAHERA UTARA,"8203","82",1
KABUPATEN HALMAHERA SELATAN,"8204","82",1
KABUPATEN KEPULAUAN SULA,"8205","82",1
KABUPATEN HALMAHERA TIMUR,"8206","82",1
KABUPATEN PULAU MOROTAI,"8207","82",1
KABUPATEN PULAU TALIABU,"8208","82",1
KOTA TERNATE,"8271","82",1
KOTA TIDORE KEPULAUAN,"8272","82",1
KABUPATEN MERAUKE,"9101","91",1
KABUPATEN JAYAWIJAYA,"9102","91",1
KABUPATEN JAYAPURA,"9103","91",1
KABUPATEN NABIRE,"9104","91",1
KABUPATEN KEPULAUAN YAPEN,"9105","91",1
KABUPATEN BIAK NUMFOR,"9106","91",1
KABUPATEN PUNCAK JAYA,"9107","91",1
KABUPATEN PANIAI,"9108","91",1
KABUPATEN MIMIKA,"9109","91",1
KABUPATEN SARMI,"9110","91",1
KABUPATEN KEEROM,"9111","91",1
KABUPATEN PEGUNUNGAN BINTANG,"9112","91",1
KABUPATEN YAHUKIMO,"9113","91",1
KABUPATEN TOLIKARA,"9114","91",1
KABUPATEN WAROPEN,"9115","91",1
KABUPATEN BOVEN DIGOEL,"9116","91",1
KABUPATEN MAPPI,"9117","91",1
